"Year","Authors"
1996,"Witcombe, J.R. ; Joshi, A. ; Joshi, K. D. ; Sthapit, BR"
2000,"Soleri, D ; Smith, SE ; Cleveland, D. A."
1999,"Witcombe, J.R. ;"
1996,"Witcombe, John ; Joshi, A...."
1996,"Joshi, A.... ; Witcombe, J.R."
1996,"Witcombe, J.R. ; Joshi, A...."
1996,"Sthapit, B.R. ; Joshi, K. D. ; Witcombe, J.R."
1996,"Temudo, MP ;"
1993,"Sperling, L. ; Loevinsohn, M.E. ; Ntabomvura, B."
1985,"Knight Jr., Robert J. ;"
1997,"Baidu-Forson, Jojo ; Ntare, B. R. ; Waliyar, Farid"
2000,"Bellon, MR ; Smale, Melinda ; Aguirre, Alfonso ; Taba, Suketoshi ; Aragon, Flavio ; Diaz, Jaime ; Castro, Humberto"
1998,"ICRISAT, - ;"
2000,"Craufurd, P ; Dorward, PTTeter ; Opoku-Apau, Alex ; Dartey, Koffi ; Bimpong, I ; Marfo, Koffi"
1998,"Courtois, Brigitte ; Singh, RKK.akesh Kumar ; Pandey, S... ; Piggin, C. ; Paris, T ; Sarkarung, S. ; Singh, V. P. ; McLaren, G ; Baghel, S. S. ; Sahu, R. K. ; Sahu, V. N. ; Sharma, S. K. ; Singh, S.. ; Singh, H. N. ; Singh, AK. ; Singh, ON ; Sisodia, B. V. S. ; Misra, C. H. ; Roy, J. K. ; Chaudhary, D. ; Prasad, K. ; Sinha, P. K. ; Mandal, N. P."
1998,"Chiwonaâ€Karltun, Linley ; Mkumbira, Jonathan ; Saka, J.O. ; Bovin, Mette ; Mahungu, Nzola M. ; Rosling, Hans"
2000,"Nowakunda, K ; Rubaihayo, P.R. ; Ameny, Michael ; Tushemereirwe, W"
1997,"Witcombe, J.R.. ;"
1996,"Barkley, AP ; Porter, LL"
1997,"Baidu-Forson, J. ;"
2000,"Sall, S ; Norman, D ; Featherstone, AM"
1996,"Chintu, EM ; Monyo, Emmanuel ; Gupta, SC"
1992,"PRUDENCIO, CY ; ORKWOR, GC ; KISSIEDU, AFK"
1996,"Letayo, EA ; Saadan, HM ; Mndolwa, SI ; Gupta, SC ; Monyo, Emmanuel"
1991,"BELLON, MR ;"
1996,"Sthapit, BR ; Joshi, K. D. ; Witcombe, J.R."
1995,"ADESINA, AA ; BAIDUFORSON, J"
1993,"SPERLING, L ; LOEVINSOHN, ME ; NTABOMVURA, B"
1996,"Holtland, G ;"
1997,"Thiele, G. ; Gardner, G ; Torrez, R ; Gabriel, J"
1999,"Dahl, BL ; Wilson, WW"
1998,"Brush, SB ; Meng, E"
1997,"Mekbib, F ;"
2000,"Ceccarelli, S. ; Grando, S. ; Tutwiler, R ; Baha, J ; Martini, AM ; Salahieh, H ; Goodchild, A ; Michael, M"
1995,"Adesina, A.A..A. ; Seidi, S."
1996,"Kumara, A.Y.Y.Y. ; Defoer, T. ; De Groote, H"
1980,"JACKSON M T ; HAWKES J G ; ROWE P R"
1997,"Behera, U. K. ; Jha, K. P."
2000,"Kim, Renee B. ; Unterschultz, James R. ; Veeman, Michele M."
1989,"Leonard, Robert L. ; Wadsworth, James J."
1984,"Unnevehr, Laurian J. ;"
