"Year","Authors"
2001,"Almekinders, CJM ; Elings, A"
2010,"Shanthy, TR ;"
2003,"Singh, AK. ;"
1996,"Witcombe, J.R. ; Joshi, A. ; Joshi, K. D. ; Sthapit, BR"
2007,"Dorward, PTT ; Craufurd, P ; Marfo, K ; Dogbe, W. ; Bam, R"
2007,"Lope-Alzina, DG ;"
2014,"Ghosh, R ; Pandey, S.. ; Telangre, R ; Kathal, D ; Singh, S. ; Usmani, G ; Patel, A ; Rao, SK ; Mishra, S ; Pachuri, A ; Verma, S ; Sharma, RN ; Gaur, PM ; Sharma, M"
2001,"Witcombe, J.R. ; Joshi, K. D. ; Rana, RB ; Virk"
2009,"Thapa, DB ; Mudwari, A ; Basnet, RK ; Sharma, S ; Ortiz-Ferrara, G ; Sharma, B ; Murphy, K"
2009,"Tiwari, T. P., T. P., TP ; Virk ; Sinclair, FL"
2014,"Singh, YP ; Nayak, AK ; Sharma, DKKK ; Gautam, RK ; Singh, RKK.K ; Singh, RKK. ; Mishra, VK ; Paris, T ; Ismaili, AM"
2016,"Mehraj, U ; Ahmad, M ; Abidi, I ; Gul-Zaffar ; Shikari, AB"
2013,"Singh, RKK. ; van Heusden, AW ; Kumar, R ; Visser, RGF ; Yadav, RC"
2012,"Gallardo, K ; Nguyen, D ; McCracken, V ; Yue, Chengyan ; Luby, J ; McFerson, J"
2005,"Witcombe, J.R. ; Joshi, K. D. ; S Gyawali ; Musa, AM ; Johansen, C ; Virk ; Sthapit, BR"
2017,"Horn, LN ; Ghebrehiwot, H. ; Sarsu, F ; Shimelis, H"
2021,"Gastelo, M ; Burgos, G ; Bastos, C ; Perez, JM ; Otiniano, R ; Cabrera, H ; Ccanto, R ; de Scurrah, MM ; Zum Felde, t."
2014,"Brocke, KV ; Trouche, G ; Weltzien, E.. ; Barro-Barro-Kondombo-Barro, CP ; Sidibe, A ; Zougmore, RB ; Goze, E"
2001,"Mulatu, E ; Belete, K"
2021,"Teeken, B ; Temudo, MP"
2002,"Joshi, K. D. ; Witcombe, J.R."
2008,"McGuire, SJ ;"
2019,"Ashby, JA ; Polar, V"
2019,"Casals, J ; Rull, A ; Segarra, J ; Schober, P ; Simo, J"
2001,"Courtois, B ; Bartholome, B ; Chaudhary, D ; McLaren, G ; Misra, C. H. ; Mandal, NP ; Pandey, S.. ; Paris, T ; Piggin, C ; Prasad, K ; Roy, AT ; Sahu, RK ; Sahu, V. N. ; Sarkarung, S ; Sharma, SK ; Singh, AK ; Singh, HN ; Singh, ON ; Singh, NK ; Singh, RKK.K ; Singh, S. ; Sinha, P. K. ; Sisodia, B. V. S. ; Takhur, R"
2007,"Omanya, GO ; Weltzien, E... ; Sogodogo, D ; Sanogo, M ; Hanssens, N ; Guero, Y ; Zangre, R.G."
2021,"Marenya, P ; Wanyama, R ; Alemu, S ; Woyengo, V"
2014,"Gebretsadik, R ; Shimelis, H ; Laing, M.... ; Tongoona, P.. ; Mandefro, N"
2006,"Witcombe, J.R. ; S Gyawali ; Sunwar, S ; Sthapit, BR ; Joshi, K. D."
2008,"Abay, F ; Waters-Bayer, A ; Bjornstad, A"
2019,"Lobulu, J ; Shimelis, H ; Laing, M... ; Mushongi, AA"
2014,"Yue, Chengyan ; Gallardo, K ; Luby, J ; Rihn, A ; McFerson, J ; McCracken, V ; Whitaker, VMM ; Finn, CEE ; Hancock, JFF ; Weebadde, Cholani ; Sebolt, A ; Iezzoni, A"
2021,"Melesse, MB ; Tirra, AN ; Ojiewo, C. ; Hauser, M"
2017,"Zhao, SL ; Yue, Chengyan ; Luby, J ; Gallardo, K ; McCracken, V ; McFerson, J ; Layne, DR"
2003,"Witcombe, J.R. ; Joshi, A... ; Goyal, S. N."
2009,"Trouche, G ; vom Brocke, K ; Aguirre, S ; Chow, Z"
2021,"Aristya, VE ; Trisyono, YA ; Mulyo, JH ; Taryono, T, T"
2002,"Mulatu, E ; Zelleke, H"
2018,"Najeeb, S ; Sheikh, FA ; Parray, GA ; Shikari, AB ; Gul-Zaffar ; Kashyp, SC ; Ganie, MA ; Shah, AB"
2020,"Tyack, N ; Manneh, B ; Konate, A ; Kessy, T ; Traore, S ; Sie, M"
2005,"Carpenter, D ;"
2013,"Yue, Chengyan ; Gallardo, K ; Luby, J ; Rihn, A ; McFerson, J ; McCracken, V ; Bedford, D ; Brown, S ; Evans, K ; Weebadde, Cholani ; Sebolt, A ; Iezzoni, AF"
2008,"Gibson, RW ; Byamukama, E ; Mpembe, I ; Kayongo, J ; Mwanga, ROM"
2020,"Scurrah, M ; Ccanto, R ; Bonierbale, M"
2019,"Ishikawa, H ; Drabo, I ; Boukar, O ; Fatokum, C ; Muranaka, S"
2020,"Ishikawa, H ; Drabo, I ; Joseph, BB ; Muranaka, S ; Fatokum, C ; Boukar, O"
2008,"Laurie, SM ; Magoro, MD"
2009,"Olaoye, G ; Ajala, SO ; Adedeji, SA"
2009,"Tiwari, T. P., T. P., TP ; Ortiz-Ferrara, G ; Urrea, C ; Katuwal, RB ; Koirala, KB ; Prasad, RC ; Gurung, DB ; Sharma, DKK ; Hamal, B ; Bhandari, B ; Thapa, M"
2000,"Soleri, D ; Smith, SE ; Cleveland, D. A."
2013,"Singh, S.. K. ; Dubey, SK ; Ali, M ; Nigam, S. N. ; Srivastava, AK ; Saxena, K. B. ; Yadav, AS ; Kumara, A."
2018,"Burman, D ; Maji, B ; Singh, S. ; Mandal, S ; Sarangi, SK ; Bandyopadhyay, BK ; Bal, AR ; Sharma, DKKK ; Krishnamurthy, SL ; Singh, HN ; Delosreyes, AS ; Villanueva, D ; Paris, T ; Singh, US ; Haefele, SM ; Ismaili, AM"
