p_id,crop_1_cat,year,donor
0,RTB,2014,West Africa Centre for Crop Improvement (WACCI);University of Ghana;National Root Crops Research Institute (NRCRI) Nigeria
1,RTB,2021,Bill & Melinda Gates Foundation;European Union;African Union
2,legumes,2008,Wageningen University;Netherlands and the Dutch Ministry for International Cooperation (DGIS);AfricaNUANCES
3,cereal,2020,Adet Agricultural Research Center;Amhara Agricultural Research Institute;AGP-II project;CGIAR ICARDA
4,Vegetable,2004,Alabama Department of Agriculture and Industries;USDA Federal-State Marketing Improvement Program;Alabama Agricultural Experiment Station
5,cereal,2000,American Association for University Women;Arizona Agricultural Experiment Station;Association for Women in Science;UC Santa Barbara;CGIAR CIMMYT;Sigma Xi;Fulbright Commission;USAID
6,RTB,2011,International Policy Research Institute;Wageningen University;Banana Research Program of National Agricultural Research Organization
7,Other,2021,"Ethiopian Agricultural Transformation Agency;Bill & Melinda Gates Foundation;Bilateral Ethiopian–Netherlands Effort for Food, Income, and Trade"
8,cereal,2021,USAID Economic Growth Project;CGIAR Program on Rice;Bill & Melinda Gates Foundation
9,cereal,2022,UK Department for International Development (DFID);CGIAR Research Program on Maize (MAIZE);Bill & Melinda Gates Foundation
10,RTB,2022,"CGIAR Research Program on Roots, Tubers, and Bananas (RTB);CGIAR Trust Fund;Bill & Melinda Gates Foundation;CIRAD"
11,RTB,2020,RTB Foods;CIRAD;Bill & Melinda Gates Foundation
12,legumes,2021,Global Affairs Canada;Swiss Agency for Development Cooperation (SDC);Bill & Melinda Gates Foundation
13,RTB,2011,McKnight Foundation;UK Department for International Development (DFID);Biological and Biotechnology Science Research Council (BBSRC)
14,RTB,2021,CGIAR International Institute of Tropical Agriculture (IITA);NRCRI
15,cereal,2008,Secretary of Agriculture;Department of Environmental Affairs of the Ministry of Natural Resources in Malawi;Canadian International Development Agency
16,RTB,2019,Government of Spain;FONTAGRO;CGIAR;Austrian Development Agency;European Union;CGIAR
17,cereal,2022,Bill & Melinda Gates Foundation;USAID;CGIAR
18,cereal,2009,UK Department for International Development (DFID);NARC;CGIAR CYMMIT
19,cereal,2020,Lee Foundation;Australian governement research training program;CGIAR IRRI;Bill & Melinda Gates Foundation
20,cereal,2022,USAID;ACIAR;CGIAR Research Program grant for Grain Legumes and Dryland Cereals;Biotechnology and Biological Sciences Research Council (BBSRC);CGIAR
21,RTB,2018,CGIAR International Potato Center;Austrain Development Agency (ADA);FAO
22,RTB,2015,Cornell University;Richard Bradfield Research Award;First Presbyterian Church (Ithaca – International Hunger);CGIAR International Potato Center
23,RTB,2014,Rockefeller Foundation;CGIAR International Institute of Tropical Agriculture (IITA);Gatsby Charitable Foundation
24,cereal,2007,Africa Rice Center;University of Hohenheim;German Ministry of Economic Cooperation (BEAF)
25,legumes,2021,CGIAR  International Center of Tropical Agriculture (CIAT);Pan Africa Bean Research Alliance (PABRA);Government of Zimbabwe
26,legumes,2016,Bill & Melinda Gates Foundation;Tropical Legumes- III (TL-III);Groundnut Up scaling Projects under the CRP-Grain Legumes
27,RTB,2018,International Foundation for Science;CORAF;CGIAR International Institute of Tropical Agriculture (IITA)
28,cereal,2003,International Sorghum and Millet Collaborative Research Support Program (INTSORMIL);ICRISAT;INRAN
29,cereal,2019,Alliance for a Green Revolution in Africa (AGRA);African Centre for Crop Improvement (ACCI);International Foundation for Science
30,RTB,2008,National Potato Research Center of the Kenya Agricultural Research Institute;CGIAR International Potato Center;Kachwekano Zonal Agricultural Research and Development Institute
31,RTB,2016,Japan Society for the Production of Science;Ronpaku Fellowship Program;Kyoto Univerity;CGIAR International Institute of Tropical Agriculture (IITA)
32,cereal,2022,"International Atomic Energy Agency;University of KwaZulu-Natal;Ministry of Agriculture, Water and Land Reform Namibia"
33,RTB,2013,Alliance for a Green Revolution in Africa (AGRA);NARO Uganda
34,legumes,2013,McKnight Foundation;African Economic Research Consortium (AERC)
35,cereal,2016,African Development Bank (ADB);Government of Japan
36,RTB,2010,Rockefeller Foundation;Government of Uganda
37,RTB,2016,Alliance for a Green Revolution in Africa (AGRA);African Centre for Crop Improvement (ACCI)
38,cereal,2017,Alliance for a Green Revolution in Africa (AGRA);African Centre for Crop Improvement (ACCI)
39,RTB,2018,Alliance for a Green Revolution in Africa (AGRA);African Centre for Crop Improvement (ACCI)
40,cereal,2013,Rockefeller Foundation;African Centre for Crop Improvement (ACCI)
41,cereal,2020,AfricaRice;African Development Bank (ADB)
42,RTB,2007,Federal Government of Nigeria;AGIP Oil company
43,cereal,2016,Alliance for a Green Revolution in Africa (AGRA);Agricultural Research Council
44,cereal,2008,Africa Rice Center;AMREC
